# Region type :       patch INLET
# Faces               : 25600
# Area                : 3.57823331707631e-02
# Scale factor        : 1.00000000000000e+00
# Time                	sum(phi)
0.0002                	-5.63370115913688e-02
0.0004                	-5.63809383727363e-02
0.0006                	-5.64112891443500e-02
0.0008                	-5.64234992825744e-02
0.001                 	-5.64310374780463e-02
0.0012                	-5.64357233931985e-02
0.0014                	-5.64572839493804e-02
0.0016                	-5.64752282234363e-02
0.0018                	-5.64747258809595e-02
0.002                 	-5.64755395473975e-02
0.0022                	-5.64787335754481e-02
0.0024                	-5.64901726660938e-02
0.0026                	-5.65148365383426e-02
0.0028                	-5.65422636205031e-02
0.003                 	-5.65590008332844e-02
0.0032                	-5.65754769574275e-02
0.0034                	-5.65867859839344e-02
0.0036                	-5.66094241664204e-02
0.0038                	-5.66269510881281e-02
0.004                 	-5.66223627734813e-02
0.0042                	-5.66140170365013e-02
0.0044                	-5.66060518875577e-02
0.0046                	-5.65871111250614e-02
0.0048                	-5.65732997661883e-02
0.005                 	-5.65599359196736e-02
0.0052                	-5.65422339659326e-02
0.0054                	-5.65315745381727e-02
0.0056                	-5.65080842420950e-02
0.0058                	-5.64782172819514e-02
0.006                 	-5.64682519656116e-02
0.0062                	-5.64741188496568e-02
0.0064                	-5.64750085110319e-02
0.0066                	-5.64673890153267e-02
0.0068                	-5.64379452167319e-02
0.007                 	-5.64248471585680e-02
0.0072                	-5.64205212910472e-02
0.0074                	-5.64031605312764e-02
0.0076                	-5.63706194252577e-02
0.0078                	-5.63362574419065e-02
0.008                 	-5.63158452292890e-02
0.0082                	-5.63113964745768e-02
0.0084                	-5.63114868956915e-02
0.0086                	-5.62974500616738e-02
0.0088                	-5.62795239297541e-02
0.009                 	-5.62602033423849e-02
0.0092                	-5.62418397842998e-02
0.0094                	-5.62331409166086e-02
0.0096                	-5.62266610889318e-02
0.0098                	-5.62176307828626e-02
0.01                  	-5.62077299622736e-02
0.0102                	-5.61861119158320e-02
0.0104                	-5.61606405782151e-02
0.0106                	-5.61316965436433e-02
0.0108                	-5.60972375682453e-02
0.011                 	-5.60638101565895e-02
0.0112                	-5.60417100342763e-02
0.0114                	-5.60115123296626e-02
0.0116                	-5.59825481676015e-02
0.0118                	-5.59464173693045e-02
0.012                 	-5.59067865102350e-02
0.0122                	-5.58734637051164e-02
0.0124                	-5.58546960951680e-02
0.0126                	-5.58329165422693e-02
0.0128                	-5.58087331212866e-02
0.013                 	-5.57718309777526e-02
0.0132                	-5.57258284056261e-02
0.0134                	-5.56698106425001e-02
0.0136                	-5.56386475697329e-02
0.0138                	-5.56287709231736e-02
0.014                 	-5.56096574735186e-02
0.0142                	-5.55817924646345e-02
0.0144                	-5.55531699655646e-02
0.0146                	-5.55372066414617e-02
0.0148                	-5.55231999487626e-02
0.015                 	-5.55074336710416e-02
0.0152                	-5.54862515814016e-02
0.0154                	-5.54802917560364e-02
0.0156                	-5.55041714693559e-02
0.0158                	-5.55355332465704e-02
0.016                 	-5.55392173276710e-02
0.0162                	-5.55435475473208e-02
0.0164                	-5.55655839180565e-02
0.0166                	-5.56037818497160e-02
0.0168                	-5.56273994154078e-02
0.017                 	-5.56273635458981e-02
0.0172                	-5.56126242504040e-02
0.0174                	-5.55915482198232e-02
0.0176                	-5.55710914421124e-02
0.0178                	-5.55377886683508e-02
0.018                 	-5.55164512158364e-02
0.0182                	-5.55098216520018e-02
0.0184                	-5.55086880781638e-02
0.0186                	-5.55060984389857e-02
0.0188                	-5.54880647314935e-02
0.019                 	-5.54700503411882e-02
0.0192                	-5.54699831057672e-02
0.0194                	-5.54924664926329e-02
0.0196                	-5.54962702616280e-02
0.0198                	-5.54909318227589e-02
0.02                  	-5.54900315190367e-02
0.0202                	-5.54886118526889e-02
0.0204                	-5.54829490770803e-02
0.0206                	-5.54791561081508e-02
0.0208                	-5.54703071852749e-02
0.021                 	-5.54520813217294e-02
0.0212                	-5.54585800078466e-02
0.0214                	-5.54755792166019e-02
0.0216                	-5.54869765754006e-02
0.0218                	-5.54872372454777e-02
0.022                 	-5.54855780243678e-02
0.0222                	-5.54883486395822e-02
0.0224                	-5.54981638210655e-02
0.0226                	-5.55176189756176e-02
0.0228                	-5.55135705865822e-02
0.023                 	-5.54947458906693e-02
0.0232                	-5.54753961361315e-02
0.0234                	-5.54703637350854e-02
0.0236                	-5.54927593708480e-02
0.0238                	-5.55089043669448e-02
0.024                 	-5.55175231694930e-02
0.0242                	-5.55284063645565e-02
0.0244                	-5.55514730422244e-02
0.0246                	-5.55954004622218e-02
0.0248                	-5.56289077983495e-02
0.025                 	-5.56484739136746e-02
0.0252                	-5.56662134049421e-02
0.0254                	-5.57048548922587e-02
0.0256                	-5.57599973101520e-02
0.0258                	-5.58107095505899e-02
0.026                 	-5.58405106959636e-02
0.0262                	-5.58487254701062e-02
0.0264                	-5.58723053164416e-02
0.0266                	-5.59033695133669e-02
0.0268                	-5.59398698839573e-02
0.027                 	-5.59635428873034e-02
0.0272                	-5.59842601116036e-02
0.0274                	-5.60053934465131e-02
0.0276                	-5.60248600044066e-02
0.0278                	-5.60503350647270e-02
0.028                 	-5.60764326235522e-02
0.0282                	-5.60944601869333e-02
0.0284                	-5.61244580572611e-02
0.0286                	-5.61640942856519e-02
0.0288                	-5.61994145421893e-02
0.029                 	-5.62045164529777e-02
0.0292                	-5.62075446798322e-02
0.0294                	-5.61949946825724e-02
0.0296                	-5.61967290558640e-02
0.0298                	-5.62121192749486e-02
0.03                  	-5.62095228870889e-02
0.0302                	-5.61851257202371e-02
0.0304                	-5.61636129811418e-02
0.0306                	-5.61553841351173e-02
0.0308                	-5.61686986480335e-02
0.031                 	-5.62036364743969e-02
0.0312                	-5.62324051390613e-02
